,subtaskname,minx,maxy,maxx,miny
85,L8-OLI-123-032-20180408-LSR5_10,503985.0,4509465.0,519345.0,4494105.0
86,L8-OLI-123-032-20180408-LSR5_11,518595.0,4509465.0,533955.0,4494105.0
87,L8-OLI-123-032-20180408-LSR5_12,533205.0,4509465.0,548565.0,4494105.0
88,L8-OLI-123-032-20180408-LSR5_13,547815.0,4509465.0,563175.0,4494105.0
89,L8-OLI-123-032-20180408-LSR5_14,562425.0,4509465.0,577785.0,4494105.0
90,L8-OLI-123-032-20180408-LSR6_0,357885.0,4494855.0,373245.0,4479495.0
91,L8-OLI-123-032-20180408-LSR6_1,372495.0,4494855.0,387855.0,4479495.0
92,L8-OLI-123-032-20180408-LSR6_2,387105.0,4494855.0,402465.0,4479495.0
93,L8-OLI-123-032-20180408-LSR6_3,401715.0,4494855.0,417075.0,4479495.0
94,L8-OLI-123-032-20180408-LSR6_4,416325.0,4494855.0,431685.0,4479495.0
95,L8-OLI-123-032-20180408-LSR6_5,430935.0,4494855.0,446295.0,4479495.0
96,L8-OLI-123-032-20180408-LSR6_6,445545.0,4494855.0,460905.0,4479495.0
97,L8-OLI-123-032-20180408-LSR6_7,460155.0,4494855.0,475515.0,4479495.0
98,L8-OLI-123-032-20180408-LSR6_8,474765.0,4494855.0,490125.0,4479495.0
99,L8-OLI-123-032-20180408-LSR6_9,489375.0,4494855.0,504735.0,4479495.0
100,L8-OLI-123-032-20180408-LSR6_10,503985.0,4494855.0,519345.0,4479495.0
101,L8-OLI-123-032-20180408-LSR6_11,518595.0,4494855.0,533955.0,4479495.0
102,L8-OLI-123-032-20180408-LSR6_12,533205.0,4494855.0,548565.0,4479495.0
103,L8-OLI-123-032-20180408-LSR6_13,547815.0,4494855.0,563175.0,4479495.0
104,L8-OLI-123-032-20180408-LSR6_14,562425.0,4494855.0,577785.0,4479495.0
105,L8-OLI-123-032-20180408-LSR7_0,357885.0,4480245.0,373245.0,4464885.0
106,L8-OLI-123-032-20180408-LSR7_1,372495.0,4480245.0,387855.0,4464885.0
107,L8-OLI-123-032-20180408-LSR7_2,387105.0,4480245.0,402465.0,4464885.0
108,L8-OLI-123-032-20180408-LSR7_3,401715.0,4480245.0,417075.0,4464885.0
109,L8-OLI-123-032-20180408-LSR7_4,416325.0,4480245.0,431685.0,4464885.0
110,L8-OLI-123-032-20180408-LSR7_5,430935.0,4480245.0,446295.0,4464885.0
111,L8-OLI-123-032-20180408-LSR7_6,445545.0,4480245.0,460905.0,4464885.0
112,L8-OLI-123-032-20180408-LSR7_7,460155.0,4480245.0,475515.0,4464885.0
